bankruptcy_filing_date,debtor,chapter,assets,stalking_horse_parent,stalking_horse,stalking_horse_bid_1,stalking_horse_bid_text,breakup_fee_1,breakup_fee_2,breakup_fee_text,required_overbid_1,required_overbid_2,required_overbid_text,bidder_list,winner_parent,winner,winning_bid_1,winning_bid_text,judge,court,debtor_counsel,stalking_horse_counsel,bidding_procedures_order_filed,sale_order_filed,bankruptcy_case_closed,comments_on_bankruptcy_filing_date,comments_on_debtor,comments_on_chapter,comments_on_assets,comments_on_stalking_horse_parent,comments_on_stalking_horse,comments_on_stalking_horse_bid_1,comments_on_stalking_horse_bid_text,comments_on_breakup_fee_1,comments_on_breakup_fee_text,comments_on_required_overbid_1,comments_on_required_overbid_text,comments_on_bidder_list,comments_on_winner_parent,comments_on_winner,comments_on_winning_bid_1,comments_on_winning_bid_text,comments_on_judge,comments_on_court,comments_on_debtor_counsel,comments_on_stalking_horse_counsel,comments_on_bidding_procedures_order_filed,comments_on_sale_order_filed,comments_on_bankruptcy_case_closed,computation_breakup_fee_percentage_1,computation_breakup_fee_percentage_2,computation_required_overbid_percentage_1,computation_required_overbid_percentage_2
2009-07-09,Cabrini Medical Center,11,De minimis assets,,"For additional information on this sale, please contact 363Live at support@363live.com.",,,,,,,,,,,,,,Allan Gropper,nysbke,-,,,2009-10-22,2013-09-30,,,,"D144, p1
Order",,,,,,,,,,,,,,,,,,,,,,,,
2010-08-12,Caribbean Petroleum Corp,11,Substantially all of the debtors' assets,,No stalking horse,,,,,,,,,Puma Energy International BV; Allied Aviation LLC; Astra Energy LLC; Peerless Energy Systems LLC; Others,Puma Energy International BV,Puma Energy International BV,82000000,"Assumed liabilities; Various adjustments - see (D511 Exhibit Part 1, p21) for more details",Kevin Gross,debke,Cadwalader Wickersham & Taft,,,2010-12-22,,,,,"D511, p1
Order","D511, p4
Order","D511, p4
Order","D511, p4
Order","D511, p4
Order","D511, p4
Order","D511, p4
Order","D511, p4
Order","D511, p4
Order","D496, p4/6
Other",General information,"D511 Exhibit Part 1, p6
Order","D511 Exhibit Part 1, p17/21
Order","D511 Exhibit Part 1, p21
Order",,,,"D511, p4
Order","D511, p4
Order",,,,,,
2010-08-12,Caribbean Petroleum Corp,11,Certain storage tanks and related equipment,,"For additional information on this sale, please contact 363Live at support@363live.com.",,,,,,,,,,,,,,Kevin Gross,debke,-,,,2011-05-11,,,,,"D992, p1
Order",,,,,,,,,,,,,,,,,,,,,,,,
2013-05-01,Coda Holdings Inc; Coda Automotive Inc,11,Substantially all of the debtors' non-automotive assets,Fortress Investment Group LLC,FCO MA Holdings LLC,25000000,"Assumed liabilities; Various adjustments - see (D11, p83) for more details",0,0,0,250000,375000,"Investment banker success fee of $375,000",Fortress Investment Group LLC,Fortress Investment Group LLC,FCO MA Coda Holdings LLC,25000000,"Assumed liabilities; Various adjustments - see (D299, p53) for more details",Christopher Sontchi,debke,White & Case,Sidley Austin,2013-05-29,2013-06-11,,,,,"D252, p1
Order","Press release, 5/1/2013","D11, p66
Motion","D11, p83
Motion

May be satisfied by credit bid","D11, p83
Motion","D188, p3
Bidding procedures order","D188, p3
Bidding procedures order","D188, p12
Bidding procedures order","D188, p12
Bidding procedures order

D400, p6
Other","D252, p7
Order","Press release, 5/1/2013","D299, p256
Other","D299, p53
Other

Includes credit bid of $23.3mm","D299, p53
Other",,,,,,,,0,0,0.01,0.025
2013-12-19,Constar International Holdings LLC,11,Certain US assets,Amcor Ltd,Amcor Rigid Plastics USA Inc,68500000,"Assumed liabilities; Various adjustments - see (D12, p129) for more details",2055000,1200000,Expense reimbursement up to $1.2mm,3605000,0,0,Plastipak Packaging Inc; Amcor Ltd; Envases Universales de Mexico SAPI de CV,Plastipak Packaging Inc,Plastipak Packaging Inc,102450000,"Assumed liabilities; Various adjustments - see (D326, p30) for more details",Christopher Sontchi,debke,Dechert,Foley & Lardner; Davies Ward Phillips & Vineberg,2014-01-10,2014-02-10,,,,,"Press release, Plastipak, 2/10/2014",General information,"D12, p108
Motion","D12, p129
Motion","D12, p129
Motion","D187, p12/18
Bidding procedures order","D187, p12/18
Bidding procedures order","D187, p18
Bidding procedures order","D187, p18
Bidding procedures order","D350, p2
Order",General information,"D350, p15
Order

D326, p10
Other","D350, p15
Order

D326, p30/31
Other","D350, p15
Order

D326, p30
Other",,,,,,,,0.03,0.047518248,0.052627737,0.052627737
2013-12-19,Constar International Holdings LLC,11,Substantially all of the assets of Constar UK,,No stalking horse,,,,,,,,,Greybull Capital LLP; Amcor Ltd; OpenGate Capital LLC,Greybull Capital LLP,Sherburn Acquisition Ltd,7046000,Assumed liabilities,Christopher Sontchi,debke,Dechert,,,2014-02-11,,,,,"D357, p2/14
Order","D342, p8
Other","D342, p8
Other","D342, p8
Other","D342, p8
Other","D342, p8
Other","D342, p8
Other","D342, p8
Other","D342, p8
Other","D342, p8
Other","D342, p9
Other","D357, p35
Order","D357, p41
Order

GBP3.532mm","D357, p36
Order",,,,"D342, p8
Other","D342, p8
Other",,,,,,
2013-12-19,Constar International Holdings LLC,11,Certain real property,The JM Smucker Company,The JM Smucker Company,2990000,"Various adjustments - see (D241, p72) for more details",74750,0,0,124750,0,0,The JM Smucker Company,The JM Smucker Company,The JM Smucker Company,2990000,"Various adjustments - see (D241, p72) for more details",Christopher Sontchi,debke,Dilworth Paxson,Walter Haverfield,2014-01-30,2014-02-11,,,,,"D354, p1
Order",General information,"D241, p72
Motion","D241, p93
Motion","D241, p72
Motion","D277, p8
Bidding procedures order

D241, p94
Motion","D277, p8
Bidding procedures order","D277, p14
Bidding procedures order","D277, p14
Bidding procedures order","D342, p10
Other",General information,"D354, p12
Order

D241, p72
Motion","D354, p12
Order

D241, p93
Motion","D354, p12
Order

D241, p72
Motion",,,,,,,,0.025,0.025,0.041722408,0.041722408
2014-02-13,Event Rentals Inc; Classic Party Rentals Inc,11,Substantially all of the debtors' assets,"The debtors' prepetition secured lenders, led by Cerberus Capital Management LP",CPR Acquisition Holdings LLC,124000000,DIP liabilities; Wind-down expense reimbursement up to $7.1991mm; Assumed liabilities,0,0,0,250000,0,0,"Apollo Global Management LLC; The debtors' prepetition secured lenders, led by Cerberus Capital Management LP",Apollo Global Management LLC,CP OpCo LLC,125250000,"Assumed liabilities; Various adjustments - see (D444, p69) for more details",Peter Walsh,debke,White & Case,Klee Tuchin Bogdanoff & Stern,2014-03-14,2014-04-29,,,,,"D444, p1
Order","D393, p5
Other

D29, p109
Motion

General information","D29, p58
Motion","D29, p79
Motion

Credit bid","D29, p79
Motion","D175, no mention
Bidding procedures order","D175, no mention
Bidding procedures order","D175, p5
Bidding procedures order","D175, p5
Bidding procedures order","D439 Exhibit A, p6
Auction transcript","D393, p2
Other","D444, p49
Order","D444, p69/70
Order","D444, p69
Order",,,,,,,,0,0,0.002016129,0.002016129
2012-10-29,First Place Financial Corp,7,Substantially all of the debtors' assets,Talmer Bancorp Inc,Talmer Bancorp Inc,250000000,Assumed liabilities,3000000,1000000,Expense reimbursement up to $1m,4000000,0,0,Talmer Bancorp Inc,Talmer Bancorp Inc,Talmer Bancorp Inc,265000000,Subtract $5mm from the consideration if Talmer cannot take on $15mm of debt; Assumed liabilities,Brendan Shannon,debke,Patton Boggs,Nelson Mullins Riley & Scarborough,2012-11-28,2012-12-14,,,,,"Press release, Talmer, 1/2/2013",General information,"D9 Exhibit A Part 1, p6
Motion","D9 Exhibit A Part 1, p10/17
Motion

Includes equity contribution of approximately $205mm","D9 Exhibit A Part 1, p7
Motion","D110, p5
Bidding procedures order","D110, p5
Bidding procedures order","D110, p16
Bidding procedures order","D110, p16
Bidding procedures order","D148, p1
Other",General information,"D157 Exhibit A Part 1, p6
Order","D157 Exhibit A Part 1, p10/17
Order

Includes equity contribution of approximately $205mm","D157 Exhibit A Part 1, p7/17
Order",,,,,,,,0.012,0.016,0.016,0.016
2013-11-22,Fisker Automotive Holdings Inc,11,Substantially all of the debtors' assets,Wanxiang Group Corp,Wanxiang America Corp,44390000,20% equity interest in new Fisker; Assumed liabilities,0,750000,"Expense reimbursement up to $750,000",1600000,0,0,Wanxiang Group Corp; Richard Li,Wanxiang Group Corp,Wanxiang America Corp,126200000,"20% common equity interest in new Fisker; Assumed liabilities; Various adjustments - see (D653, p103) for more details",Kevin Gross,debke,Kirkland & Ellis,Sidley Austin,2014-01-23,2014-02-19,,,,,"Press release, 2/18/2014","General information

News (http://online.wsj.com/news/articles/SB10001424052702304049704579318941385377648)

Stalking horse 2: Richard Li","D508, p3/5
Bidding procedures order

Stalking horse 2: Hybrid Tech Holdings LLC","D477, p23; D433, p23/35
Other

Includes DIP liabilities up to $9.14mm

Stalking horse 2: $56.85mm

Includes credit bid of $25mm. See (D433, p23) and (D508, p17).","D477, p23; D433, p23
Other

Stalking horse 2: DIP modification; Assumed liabilities; Various adjustments - see (D433, p23) for more details","D508, p13
Bidding procedures order","D508, p23
Bidding procedures order","D508, p23
Bidding procedures order","D508, p23
Bidding procedures order","D602, p3
Motion",General information,"D653, p41
Order","D653, p103
Order

Includes DIP liabilities up to $9.14mm","D653, p103
Order",,,,Stalking horse 2: Keller & Benvenutti,,,,0,0.016895697,0.036044154,0.036044154
2008-02-04,Fortunoff Fine Jewelry and Silverware LLC,11,Substantially all of the debtors' assets,NRDC Equity Partners LLC,H Acquisition LLC,80000000,"DIP liabilities; Assumed liabilities; Various adjustments - see (D22, p57) for more details",2250000,1000000,Expense reimbursement up to $1m,2250000,1000000,Expense reimbursement up to $1m,NRDC Equity Partners LLC; Group of liquidators,NRDC Equity Partners LLC,H Acquisition LLC,80000000,"DIP liabilities; Assumed liabilities; Various adjustments - see (D328 Exhibit A, p10) for more details",James Peck,nysbke,Skadden Arps Slate Meagher & Flom,Sidley Austin,2008-02-22,2008-03-06,2009-02-08,,,,"Press release, 2/4/2013","D328 Exhibit A, p67
Order","D22, p53
Motion","D22, p57
Motion","D22, p57/110
Motion","D190, p3
Bidding procedures order

D22, p95
Motion","D115, p3/53
Bidding procedures order","D115, p82
Bidding procedures order","D115, p82
Bidding procedures order","D382, p56
Sale hearing transcript","D328 Exhibit A, p67
Order","D328 Exhibit A, p6
Order","D328 Exhibit A, p10
Order","D328 Exhibit A, p10/63
Order",,,,,Another bidding procedures order was signed on 2/15/2008.,,,0.028125,0.040625,0.028125,0.040625
2013-09-09,Furniture Brands International Inc,11,Substantially all of the assets of Furniture Brands International Inc,KPS Capital Partners LP,FBN Acquisition Holdings LLC,280000000,Assumed liabilities,4000000,0,Expense reimbursement,5000000,0,Expense reimbursement,KPS Capital Partners LP,KPS Capital Partners LP,FBN Acquisition Holdings LLC,280000000,Assumed liabilities,Christopher Sontchi,debke,Paul Hastings,Proskauer Rose,2013-10-03,2013-11-22,,,,,"8-K, 11/25/2013","8-K, 11/25/2013","8-K, 11/25/2013

D313 Exhibit 1 Part 1, p8
Bididng procedures order","8-K, 10/2/2013

Includes credit bid","8-K, 10/2/2013","D313, p11
Bidding procedures order

D313 Exhibit 1 Part 2, p4
Bidding procedures order","D313, p11
Bidding procedures order

D313 Exhibit 1 Part 2, p4
Bidding procedures order","D313 Exhibit 1 Part 2, p31/32
Bidding procedures order","D313 Exhibit 1 Part 2, p31
Bidding procedures order","D778, p1
Other","8-K, 11/25/2013","D833, p14
Order

D313 Exhibit 1 Part 1, p8
Bididng procedures order","8-K, 11/25/2013

Includes credit bid","8-K, 11/25/2013",,,,,,,,0.014285714,0.014285714,0.017857143,0.017857143
2013-09-09,Furniture Brands International Inc,11,"Real property located in Allentown, Pennsylvania",,Private sale,,,,,,,,,,Ice River Springs Water Company Inc,Roble Street Realty Inc,3000000,0,Christopher Sontchi,debke,Paul Hastings,,,2014-01-06,,,,,"D1060, p1
Order

D1060 Exhibit 1, p32
Order","D1060, p1
Order","D1060, p1
Order","D1060, p1
Order","D1060, p1
Order","D1060, p1
Order","D1060, p1
Order","D1060, p1
Order","D1060, p1
Order","D1060, p1
Order","D1060 Exhibit 1, p2
Order

General information","D1060 Exhibit 1, p2
Order","D1060 Exhibit 1, p3
Order","D1060 Exhibit 1, p3
Order",,,,"D1060, p1
Order","D1060, p1
Order",,,,,,
2013-09-09,Furniture Brands International Inc,11,Aircraft (2003 Hawker 800XP),,Private sale,,,,,,,,,,Jet Sales International LLC,Jet Sales International LLC,2650000,"Various adjustments - see (D818 Exhibit 1, p6) for more details",Christopher Sontchi,debke,Paul Hastings,,,2013-11-22,,,,,"D818, p1
Order

D818 Exhibit 1, p20
Order","D818, p1
Order","D818, p1
Order","D818, p1
Order","D818, p1
Order","D818, p1
Order","D818, p1
Order","D818, p1
Order","D818, p1
Order","D818, p1
Order",General information,"D818 Exhibit 1, p3
Order","D818 Exhibit 1, p5/6
Order","D818 Exhibit 1, p6
Order",,,,"D818, p1
Order","D818, p1
Order",,,,,,
2013-09-09,Furniture Brands International Inc,11,De minimis assets,,"For additional information on this sale, please contact 363Live at support@363live.com.",,,,,,,,,,,,,,Christopher Sontchi,debke,-,,,2014-02-07,,,,,"D1198, p1
Order",,,,,,,,,,,,,,,,,,,,,,,,
2012-10-19,HMX Acquisition Corp,11,Substantially all of the debtors' assets,Authentic Brands Group LLC,Authentic Brands Group LLC,72300000,"Add $4mm to the cash consideration if the relevant license agreement is not executed pursuant to the relevant terms (D21, p53); Assumed liabilities",2200000,425000,"Expense reimbursement up to $425,000",2200000,425000,"Expense reimbursement up to $425,000",Authentic Brands Group LLC,Authentic Brands Group LLC,Authentic Brands Group LLC,72300000,Assumed liabilities,Allan Gropper,nysbke,Proskauer Rose,DLA Piper,2012-11-29,2012-12-20,,,,,"D270, p1
Order",General information,"D21, p42
Motion","D21, p53
Motion

Includes pre- and postpetition claims by Salus Capital Partners LLC of approximately $67.2mm","D21, p53
Motion","D185, p7
Bidding procedures order

$2.1mm if the stalking horse pursues a liquidation bid, as opposed to a going-concern bid","D185, p7
Bidding procedures order","D185, p13
Bidding procedures order

By assumption","D185, p13
Bidding procedures order

By assumption","D270, p2
Order",General information,"D270 Exhibit A, p6
Order","D270 Exhibit A, p97
Order

Includes pre- and postpetition claims by Salus Capital Partners LLC of approximately $67.2mm","D270 Exhibit A, p97
Order",,,,,,,,0.030428769,0.036307054,0.030428769,0.036307054
2012-10-19,HMX Acquisition Corp,11,Certain trademarks associated with the debtors' Canadian affiliate,,Private sale,,,,,,,,,,The Tom James Company,Very Best Apparel Corp,500000,0,Allan Gropper,nysbke,Proskauer Rose,,,2012-11-16,,,,,"D142, p1
Order","D142, p6
Order

D88, p1
Motion","D142, p6
Order

D88, p1
Motion","D142, p6
Order

D88, p1
Motion","D142, p6
Order

D88, p1
Motion","D142, p6
Order

D88, p1
Motion","D142, p6
Order

D88, p1
Motion","D142, p6
Order

D88, p1
Motion","D142, p6
Order

D88, p1
Motion","D142, p6
Order

D88, p1
Motion","Press release, William Blair (investment banker), 1/2/2013","D142, p7
Order

D88, p19
Motion","D142, p7
Order

D88, p23
Motion","D142, p7
Order

D88, p23
Motion",,,,"D142, p6
Order

D88, p1
Motion","D142, p6
Order

D88, p1
Motion",,,,,,
